artifact_id,question,type,title,purpose,script,data_file,artifact_file,report_location,status,notes
Q1-T01,q1,table,策略指标对比,比较等速与等马赫巡航爬升结果并分解空速航程/风场贡献,questions/q1/scripts/pipeline.py,artifacts/q1/data/strategy_comparison.csv,questions/q1/artifacts/tables/strategy_comparison.csv,questions/q1/results.md,supported,
Q1-T02,q1,table,验证结果,记录 q1 数值验证和诊断,questions/q1/scripts/validate.py,questions/q1/artifacts/tables/validation_summary.csv,questions/q1/artifacts/tables/validation_summary.csv,questions/q1/evidence.md,supported,
Q1-T03,q1,table,灵敏度结果,记录 cT 与 beta 扰动影响,questions/q1/scripts/validate.py,questions/q1/artifacts/tables/sensitivity_summary.csv,questions/q1/artifacts/tables/sensitivity_summary.csv,questions/q1/results.md,supported,
Q1-F01,q1,figure,高度-时间曲线,展示两策略高度剖面,questions/q1/scripts/visualize.py,questions/q1/artifacts/figure_data/height_time.csv,questions/q1/artifacts/figures/height_time.png,questions/q1/results.md,supported,
Q1-F02,q1,figure,质量-时间曲线,展示两策略质量消耗过程,questions/q1/scripts/visualize.py,questions/q1/artifacts/figure_data/mass_time.csv,questions/q1/artifacts/figures/mass_time.png,questions/q1/results.md,supported,
Q1-F03,q1,figure,爬升率-时间曲线,比较两策略爬升率分布,questions/q1/scripts/visualize.py,questions/q1/artifacts/figure_data/climb_rate_time.csv,questions/q1/artifacts/figures/climb_rate_time.png,questions/q1/results.md,supported,
Q1-F04,q1,figure,高度-距离曲线,展示随地面航程的高度变化,questions/q1/scripts/visualize.py,questions/q1/artifacts/figure_data/height_distance.csv,questions/q1/artifacts/figures/height_distance.png,questions/q1/results.md,supported,
Q1-F05,q1,figure,策略指标对比图,比较最终时间/航程/高度/平均爬升率,questions/q1/scripts/visualize.py,questions/q1/artifacts/figure_data/strategy_metrics.csv,questions/q1/artifacts/figures/strategy_metrics.png,questions/q1/results.md,supported,
Q1-D01,q1,document,q1_review 对照审计,逐项记录 tasks/q1_review.md 审查意见的处理状态,manual,tasks/q1_review.md,questions/q1/q1_review_audit.md,questions/q1/q1_review_audit.md,supported,
Q2-T01,q2,table,共同可行航程燃油汇总,比较标准 ISA 与多温差静力修正下的总油耗,questions/q2/scripts/pipeline.py,artifacts/q2/data/q2_fuel_summary.csv,questions/q2/artifacts/tables/fuel_summary.csv,questions/q2/results.md,supported,
Q2-T02,q2,table,q2 验证结果,记录初始状态、终点质量、静力平衡、路径积分和灵敏度验证检查,questions/q2/scripts/validate.py,questions/q2/artifacts/tables/validation_summary.csv,questions/q2/artifacts/tables/validation_summary.csv,questions/q2/evidence.md,supported,
Q2-T03,q2,table,温差灵敏度汇总,记录 DeltaT 扰动下总油耗和相对变化,questions/q2/scripts/pipeline.py,artifacts/q2/data/q2_temperature_sensitivity.csv,questions/q2/artifacts/tables/temperature_sensitivity.csv,questions/q2/results.md,supported,
Q2-F01,q2,figure,沿路径油耗率分布,展示标准 ISA 与 +10 K 静力修正场景油耗率沿航程变化,questions/q2/scripts/visualize.py,questions/q2/artifacts/figure_data/fuel_rate_path.csv,questions/q2/artifacts/figures/fuel_rate_path.png,questions/q2/results.md,supported,
Q2-F02,q2,figure,大气参数沿路径分布,展示温度、密度和声速沿固定航程变化,questions/q2/scripts/visualize.py,questions/q2/artifacts/figure_data/atmosphere_path.csv,questions/q2/artifacts/figures/atmosphere_path.png,questions/q2/results.md,supported,
Q2-F03,q2,figure,温差油耗敏感性,展示 DeltaT 与固定航程总油耗相对变化,questions/q2/scripts/visualize.py,questions/q2/artifacts/figure_data/temperature_sensitivity.csv,questions/q2/artifacts/figures/temperature_sensitivity.png,questions/q2/results.md,supported,
Q2-D01,q2,document,q2_review1 对照审计,逐项记录 questions/q2/review1.md 审查意见的处理状态,manual,questions/q2/review1.md,questions/q2/q2_review_audit.md,questions/q2/q2_review_audit.md,supported,
Q2-D02,q2,document,q2_review2 对照审计,逐项记录 questions/q2/review2.md 审查意见的处理状态,manual,questions/q2/review2.md,questions/q2/q2_review2_audit.md,questions/q2/q2_review2_audit.md,supported,
Q3-D01,q3,document,q3 题意审计,记录第三问优化口径和退化目标风险,manual,tasks/task3.md,questions/q3/review.md,questions/q3/review.md,supported,设计类主张已支持但不含最优数值
Q3-D02,q3,document,q3 必要条件推导,记录 Hamiltonian、PMP 条件和能量高度分析,manual,tasks/task3.md,questions/q3/derivation.md,questions/q3/derivation.md,supported,设计类主张已支持但不含最优数值
Q3-D03,q3,document,q3 直接法求解设计,记录直接配点方案、初值、约束和验证计划,manual,tasks/task3.md,questions/q3/approach.md,questions/q3/approach.md,supported,设计类主张已支持但不含最优数值
Q3-D04,q3,document,q3_review1 对照审计,逐项记录 questions/q3/review1.md 审查意见的处理状态,manual,questions/q3/review1.md,questions/q3/q3_review1_audit.md,questions/q3/q3_review1_audit.md,supported,
Q3-D05,q3,document,q3_review2 对照审计,逐项记录 questions/q3/review2.md 审查意见的处理状态,manual,questions/q3/review2.md,questions/q3/q3_review2_audit.md,questions/q3/q3_review2_audit.md,supported,
Q3-D06,q3,document,q3_review3 对照审计,逐项记录 questions/q3/review3.md 审查意见的处理状态,manual,questions/q3/review3.md,questions/q3/q3_review3_audit.md,questions/q3/q3_review3_audit.md,supported,
Q3-D07,q3,document,q3_review3(2) 对照审计,逐项记录 questions/q3/review3 (2).md 审查意见的处理状态,manual,questions/q3/review3 (2).md,questions/q3/q3_review3_2_audit.md,questions/q3/q3_review3_2_audit.md,supported,
Q3-D08,q3,document,q3_review4 对照审计,逐项记录 questions/q3/review4.md 审查意见的处理状态,manual,questions/q3/review4.md,questions/q3/q3_review4_audit.md,questions/q3/q3_review4_audit.md,supported,
Q3-T00,q3,table,q3 固定路径可行性预检查,比较配置风场和无风固定 q1 等速路径的终端质量与质量约束满足性,questions/q3/scripts/precheck.py,questions/q3/artifacts/tables/baseline_feasibility.csv,questions/q3/artifacts/tables/baseline_feasibility.csv,questions/q3/results.md,supported,
Q3-T01,q3,table,q3 无风可行性 Gate,记录无风航程域可行性搜索的终端质量松弛和状态,questions/q3/scripts/solve_feasibility_no_wind.py,questions/q3/artifacts/tables/no_wind_feasibility_gate.csv,questions/q3/artifacts/tables/no_wind_feasibility_gate.csv,questions/q3/results.md,supported,
Q3-T02,q3,table,q3 无风 collocation Gate dry-run,记录 C1 静力一致大气下 Gate 1 warm start 投影和尺度化配点诊断,questions/q3/scripts/solve_feasibility_collocation_no_wind.py,questions/q3/artifacts/tables/no_wind_collocation_gate.csv,questions/q3/artifacts/tables/no_wind_collocation_gate.csv,questions/q3/results.md,supported,
Q3-T03,q3,table,q3 无风 collocation warm start 轨迹,记录 Gate 1 轨迹投影到 C1 大气后的节点状态和控制,questions/q3/scripts/solve_feasibility_collocation_no_wind.py,questions/q3/artifacts/tables/no_wind_collocation_trajectory.csv,questions/q3/artifacts/tables/no_wind_collocation_trajectory.csv,questions/q3/results.md,supported,
Q3-T04,q3,table,q3 无风 hmax warm start 敏感性,记录 dry-run warm start 在不同 h_max 下的高度越界和质量缺口,questions/q3/scripts/solve_feasibility_collocation_no_wind.py,questions/q3/artifacts/tables/no_wind_hmax_sensitivity.csv,questions/q3/artifacts/tables/no_wind_hmax_sensitivity.csv,questions/q3/results.md,supported,
Q3-D09,q3,document,q3_review5 对照审计,逐项记录 questions/q3/review5.md 审查意见的处理状态,manual,questions/q3/review5.md,questions/q3/q3_review5_audit.md,questions/q3/q3_review5_audit.md,supported,
Q3-T05,q3,table,q3 Gate1-to-Gate2 投影差异审计,拆分 Gate 1 原轨迹到 Gate 2 dry-run 投影的质量差异来源,questions/q3/scripts/solve_feasibility_collocation_no_wind.py,questions/q3/artifacts/tables/gate1_to_collocation_projection_audit.csv,questions/q3/artifacts/tables/gate1_to_collocation_projection_audit.csv,questions/q3/results.md,supported,
Q3-T06,q3,table,q3 C1 大气平滑数值诊断,记录 C1 温度平滑和静力压力积分的大气一致性诊断,questions/q3/scripts/solve_feasibility_collocation_no_wind.py,questions/q3/artifacts/tables/atmosphere_smoothing_diagnostics.csv,questions/q3/artifacts/tables/atmosphere_smoothing_diagnostics.csv,questions/q3/results.md,supported,
Q3-T07,q3,table,q3 hmax warm-start 诊断,准确命名 dry-run warm start 在不同 h_max 下的越界和质量缺口诊断,questions/q3/scripts/solve_feasibility_collocation_no_wind.py,questions/q3/artifacts/tables/warm_start_hmax_diagnostic.csv,questions/q3/artifacts/tables/warm_start_hmax_diagnostic.csv,questions/q3/results.md,supported,
Q3-D10,q3,document,q3_review6 对照审计,逐项记录 questions/q3/review6.md 审查意见的处理状态,manual,questions/q3/review6.md,questions/q3/q3_review6_audit.md,questions/q3/q3_review6_audit.md,supported,
Q3-T08,q3,table,q3 C1 大气动力学耦合诊断,固定状态点对比 C1 与分层 ISA 在密度、阻力、dV/dx 和 dm/dx 上的差异,questions/q3/scripts/solve_feasibility_collocation_no_wind.py,questions/q3/artifacts/tables/atmosphere_coupling_diagnostics.csv,questions/q3/artifacts/tables/atmosphere_coupling_diagnostics.csv,questions/q3/results.md,supported,
Q3-D11,q3,document,q3_review7 对照审计,逐项记录 questions/q3/review7.md 审查意见的处理状态,manual,questions/q3/review7.md,questions/q3/q3_review7_audit.md,questions/q3/q3_review7_audit.md,supported,
Q3-D12,q3,document,q3_review8 对照审计,逐项记录 questions/q3/review8.md 审查意见的处理状态,manual,questions/q3/review8.md,questions/q3/q3_review8_audit.md,questions/q3/q3_review8_audit.md,supported,
Q3-D13,q3,document,q3_review9 对照审计,逐项记录 questions/q3/review9.md 审查意见的处理状态,manual,questions/q3/review9.md,questions/q3/q3_review9_audit.md,questions/q3/q3_review9_audit.md,supported,
Q3-T09,q3,table,q3 无风 collocation Gate 非 dry-run 汇总,记录一阶段最小质量松弛 NLP 的正式 Gate 2 诊断,questions/q3/scripts/solve_feasibility_collocation_no_wind.py,questions/q3/artifacts/tables/no_wind_collocation_formal_gate.csv,questions/q3/artifacts/tables/no_wind_collocation_formal_gate.csv,questions/q3/results.md,supported,
Q3-T10,q3,table,q3 无风 collocation Gate 非 dry-run 轨迹,记录一阶段 NLP 的节点状态和控制,questions/q3/scripts/solve_feasibility_collocation_no_wind.py,questions/q3/artifacts/tables/no_wind_collocation_formal_trajectory.csv,questions/q3/artifacts/tables/no_wind_collocation_formal_trajectory.csv,questions/q3/results.md,supported,
Q3-T11,q3,table,q3 优化后 hmax 敏感性,记录不同高度上界下重新优化的一阶段质量松弛、连续重积分和 gate 状态诊断,questions/q3/scripts/solve_feasibility_collocation_no_wind.py,questions/q3/artifacts/tables/optimized_hmax_sensitivity.csv,questions/q3/artifacts/tables/optimized_hmax_sensitivity.csv,questions/q3/results.md,supported,
